#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0741,Oricorio Pom-Pom Style,Electric Flying,196,145,181,20%,7%,"Air Slash, Pound","Aerial Ace, Air Cutter, Hurricane"
0741,Oricorio Pa'u Style,Psychic Flying,196,145,181,20%,7%,"Air Slash, Pound","Aerial Ace, Air Cutter, Hurricane"
0741,Oricorio Sensu Style,Ghost Flying,196,145,181,20%,7%,"Air Slash, Pound","Aerial Ace, Air Cutter, Hurricane"
0742,Cutiefly,Bug Fairy,110,81,120,50%,20%,"Fairy Wind, Struggle Bug","Bug Buzz, Dazzling Gleam"
0743,Ribombee,Bug Fairy,198,146,155,15%,7%,"Fairy Wind, Struggle Bug","Bug Buzz, Dazzling Gleam"
0744,Rockruff,Rock,117,78,128,20%,10%,"Rock Throw, Tackle","Crunch, Rock Tomb, Stone Edge, Trailblaze"
0745,Lycanroc Midday Form,Rock,231,140,181,20%,10%,"Rock Throw, Sucker Punch","Crunch, Drill Run, Stone Edge, Trailblaze"
0745,Lycanroc Midnight Form,Rock,218,152,198,20%,10%,"Counter, Rock Throw","Crunch, Psychic Fangs, Stone Edge, Trailblaze"
0747,Mareanie,Poison Water,98,110,137,20%,10%,"Bite, Poison Sting","Brine, Gunk Shot, Sludge Wave"
0748,Toxapex,Poison Water,114,273,137,20%,10%,"Bite, Poison Jab","Brine, Gunk Shot, Sludge Wave"
0751,Dewpider,Water Bug,72,117,116,20%,10%,"Bug Bite, Infestation","Bubble Beam, Mirror Coat, Water Pulse"
0752,Araquanid,Water Bug,126,219,169,20%,10%,"Bug Bite, Infestation","Bubble Beam, Bug Buzz, Mirror Coat"
0753,Fomantis,Grass,100,64,120,20%,10%,"Fury Cutter, Leafage, Razor Leaf","Energy Ball, Grass Knot, Leaf Blade, Trailblaze"
0754,Lurantis,Grass,192,169,172,20%,10%,"Fury Cutter, Leafage, Razor Leaf","Leaf Blade, Leaf Storm, Superpower, Trailblaze, X-Scissor"
0755,Morelull,Grass Fairy,108,119,120,20%,10%,Astonish,"Dazzling Gleam, Seed Bomb"
0756,Shiinotic,Grass Fairy,154,168,155,20%,10%,Astonish,"Moonblast, Seed Bomb, Sludge Bomb"
0757,Salandit,Poison Fire,136,80,134,20%,10%,"Ember, Poison Jab","Dragon Pulse, Flamethrower, Poison Fang"
0758,Salazzle,Poison Fire,228,130,169,20%,10%,"Incinerate, Poison Jab","Dragon Pulse, Fire Blast, Poison Fang, Sludge Wave"
0759,Stufful,Normal Fighting,136,95,172,50%,10%,"Tackle, Take Down","Brick Break, Stomp, Superpower"
0760,Bewear,Normal Fighting,226,141,260,20%,6%,"Low Kick, Shadow Claw, Tackle","Payback, Stomp, Superpower, Drain Punch (Community Day)"
0761,Bounsweet,Grass,55,69,123,50%,20%,"Charm, Razor Leaf","Draining Kiss, Energy Ball"
0762,Steenee,Grass,78,94,141,25%,9%,"Charm, Razor Leaf","Draining Kiss, Energy Ball, Grass Knot, Triple Axel"
0763,Tsareena,Grass,222,195,176,12.5%,5%,"Charm, Magical Leaf, Razor Leaf","Draining Kiss, Energy Ball, Grass Knot, Stomp, Triple Axel"
0764,Comfey,Fairy,165,215,139,20%,10%,"Hidden Power, Vine Whip","Draining Kiss, Grass Knot, Petal Blizzard"
0765,Oranguru,Normal Psychic,168,192,207,20%,7%,"Confusion, Yawn, Zen Headbutt","Foul Play, Future Sight, Psychic"
0766,Passimian,Fighting,222,160,225,20%,7%,"Counter, Rock Smash, Take Down","Brick Break, Close Combat, Superpower"
0767,Wimpod,Bug Water,67,74,93,50%,70%,Struggle Bug,Bug Buzz
0768,Golisopod,Bug Water,218,226,181,20%,70%,"Fury Cutter, Metal Claw, Shadow Claw, Waterfall","Aerial Ace, Aqua Jet, Liquidation, Razor Shell, X-Scissor"
0769,Sandygast,Ghost Ground,120,118,146,20%,10%,"Astonish, Mud Shot","Earth Power, Sand Tomb, Scorching Sands, Shadow Ball"
0770,Palossand,Ghost Ground,178,178,198,20%,10%,"Astonish, Mud Shot","Earth Power, Sand Tomb, Scorching Sands, Shadow Ball"
0775,Komala,Normal,216,165,163,20%,10%,"Rollout, Yawn","Bulldoze, Payback, Play Rough"
0776,Turtonator,Fire Dragon,165,215,155,20%,7%,"Ember, Fire Spin, Incinerate","Dragon Pulse, Flamethrower, Flash Cannon, Overheat"
0777,Togedemaru,Electric Steel,190,145,163,20%,10%,"Spark, Thunder Shock","Fell Stinger, Gyro Ball, Wild Charge"
0779,Bruxish,Water Psychic,208,145,169,20%,10%,"Bite, Confusion, Water Gun","Aqua Tail, Crunch, Psychic Fangs"
0782,Jangmo-o,Dragon,102,108,128,40%,9%,"Dragon Tail, Tackle","Brick Break, Dragon Claw, Dragon Pulse"
0783,Hakamo-o,Dragon Fighting,145,162,146,10%,7%,"Dragon Tail, Tackle","Brick Break, Dragon Claw, Dragon Pulse"
0784,Kommo-o,Dragon Fighting,222,240,181,5%,5%,"Dragon Tail, Poison Jab","Boomburst, Close Combat, Dragon Claw, Flamethrower"
0785,Tapu Koko,Electric Fairy,250,181,172,2%,10%,"Quick Attack, Volt Switch","Brave Bird, Dazzling Gleam, Thunder, Thunderbolt"
0786,Tapu Lele,Psychic Fairy,259,208,172,2%,10%,"Astonish, Confusion","Focus Blast, Future Sight, Moonblast, Psyshock"
0787,Tapu Bulu,Grass Fairy,249,215,172,2%,10%,"Bullet Seed, Rock Smash","Dazzling Gleam, Grass Knot, Megahorn, Solar Beam"
0788,Tapu Fini,Water Fairy,189,254,172,2%,10%,"Hidden Power, Water Gun","Hydro Pump, Ice Beam, Moonblast, Surf"
0789,Cosmog,Psychic,54,57,125,90%,10%,Splash,Struggle
0790,Cosmoem,Psychic,54,242,125,50%,10%,Splash,Struggle
0791,Solgaleo,Psychic Steel,255,191,264,2%,10%,"Fire Spin, Zen Headbutt","Flamethrower, Iron Head, Psychic Fangs, Solar Beam"
0792,Lunala,Psychic Ghost,255,191,264,2%,10%,"Air Slash, Confusion","Future Sight, Moonblast, Psychic, Shadow Ball"
0793,Nihilego,Rock Poison,249,210,240,2%,10%,"Acid, Poison Jab, Pound","Gunk Shot, Power Gem, Rock Slide, Sludge Bomb"
0794,Buzzwole,Bug Fighting,236,196,216,2%,10%,"Counter, Poison Jab","Fell Stinger, Lunge, Power-Up Punch, Superpower"
0795,Pheromosa,Bug Fighting,316,85,174,2%,10%,"Bug Bite, Low Kick","Bug Buzz, Close Combat, Focus Blast, Lunge"
0796,Xurkitree,Electric,330,144,195,2%,10%,"Spark, Thunder Shock","Dazzling Gleam, Discharge, Power Whip, Thunder"
0797,Celesteela,Steel Flying,207,199,219,2%,10%,"Air Slash, Smack Down","Body Slam, Bulldoze, Heavy Slam, Iron Head"
0798,Kartana,Grass Steel,323,182,139,2%,10%,"Air Slash, Razor Leaf","Aerial Ace, Leaf Blade, Night Slash, X-Scissor"
0799,Guzzlord,Dark Dragon,188,99,440,2%,10%,"Dragon Tail, Snarl","Brutal Swing, Crunch, Dragon Claw, Sludge Bomb"
0808,Meltan,Steel,118,99,130,30%,0%,Thunder Shock,"Flash Cannon, Thunderbolt"
0809,Melmetal,Steel,226,190,264,30%,0%,Thunder Shock,"Flash Cannon, Hyper Beam, Rock Slide, Superpower, Thunderbolt, Double Iron Bash (legacy)"
0819,Skwovet,Normal,95,86,172,60%,10%,"Bite, Bullet Seed, Tackle","Body Slam, Crunch, Trailblaze"
0820,Greedent,Normal,160,156,260,30%,7%,"Bite, Bullet Seed, Mud Shot, Tackle","Body Slam, Crunch"
0831,Wooloo,Normal,76,97,123,50%,10%,"Tackle, Take Down","Payback, Stomp, Wild Charge"
0832,Dubwool,Normal,159,198,176,20%,7%,"Double Kick, Tackle, Take Down","Body Slam, Payback, Wild Charge"
0862,Obstagoon,Dark Normal,180,194,212,4%,4%,"Counter, Lick","Cross Chop, Gunk Shot, Hyper Beam, Night Slash, Obstruct (Community Day), Frustration (Shadow), Return (Purified)"
0863,Perrserker,Steel,195,162,172,10%,7%,"Metal Claw, Shadow Claw","Close Combat, Foul Play, Iron Head, Play Rough, Trailblaze, Frustration (Shadow), Return (Purified)"
0865,Sirfetch'd,Fighting,248,176,158,10%,7%,"Counter, Fury Cutter","Brave Bird, Close Combat, Leaf Blade, Night Slash, Frustration (Shadow), Return (Purified)"
0866,Mr. Rime,Ice Psychic,212,179,190,30%,9%,"Confusion, Ice Shard, Zen Headbutt","Ice Punch, Icy Wind, Psybeam, Psychic, Triple Axel, Frustration (Shadow), Return (Purified)"
0867,Runerigus,Ground Ghost,163,237,151,10%,7%,"Astonish, Shadow Claw","Rock Tomb, Sand Tomb, Shadow Ball, Frustration (Shadow), Return (Purified)"
0870,Falinks,Fighting,193,170,163,20%,10%,"Counter, Rock Smash","Brick Break, Megahorn, Superpower"
0888,Zacian Hero of Many Battles,Fairy,254,236,192,2%,10%,"Fire Fang, Metal Claw, Quick Attack, Snarl","Close Combat, Iron Head, Play Rough, Wild Charge"
0889,Zamazenta Hero of Many Battles,Fighting,254,236,192,2%,10%,"Ice Fang, Metal Claw, Quick Attack, Snarl","Close Combat, Crunch, Iron Head, Moonblast"
0893,Zarude,Dark Grass,242,215,233,10%,0%,"Bite, Vine Whip","Dark Pulse, Energy Ball, Power Whip"
0894,Regieleki,Electric,250,125,190,2%,10%,"Lock-On, Thunder Shock, Volt Switch","Hyper Beam, Thunder, Zap Cannon"
0895,Regidrago,Dragon,202,101,400,2%,10%,Bite,"Breaking Swipe, Dragon Pulse, Hyper Beam, Outrage"
0900,Kleavor,Bug Rock,253,174,172,30%,10%,"Air Slash, Quick Attack","Rock Slide, Stone Edge, Trailblaze, X-Scissor"
0901,Ursaluna,Ground Normal,243,181,277,15%,7%,"Rock Smash, Tackle","Aerial Ace, Fire Punch, Ice Punch, Thunder Punch, Trailblaze, High Horsepower (Community Day), Frustration (Shadow), Return (Purified)"
0903,Sneasler,Fighting Poison,259,158,190,30%,10%,"Poison Jab, Rock Smash, Shadow Claw","Aerial Ace, Close Combat, X-Scissor, Frustration (Shadow), Return (Purified)"
0904,Overqwil,Dark Poison,222,171,198,30%,10%,"Poison Jab, Poison Sting","Aqua Tail, Dark Pulse, Ice Beam, Shadow Ball, Sludge Bomb"
0906,Sprigatito,Grass,116,99,120,20%,10%,"Charm, Leafage","Energy Ball, Grass Knot, Play Rough"
0907,Floragato,Grass,157,128,156,10%,10%,"Charm, Leafage","Energy Ball, Grass Knot, Play Rough"
0908,Meowscarada,Grass Dark,233,153,183,5%,10%,"Charm, Leafage","Energy Ball, Grass Knot, Night Slash, Play Rough"
0909,Fuecoco,Fire,112,96,167,20%,10%,"Bite, Incinerate","Crunch, Disarming Voice, Flamethrower"
0910,Crocalor,Fire,162,134,191,10%,10%,"Bite, Incinerate","Crunch, Disarming Voice, Flamethrower"
0911,Skeledirge,Fire Ghost,207,178,232,5%,10%,"Bite, Incinerate","Crunch, Disarming Voice, Flamethrower, Shadow Ball"
0912,Quaxly,Water,120,86,146,20%,10%,"Water Gun, Wing Attack","Aerial Ace, Aqua Jet, Liquidation"
0913,Quaxwell,Water,162,123,172,10%,10%,"Water Gun, Wing Attack","Aerial Ace, Aqua Jet, Liquidation"
0914,Quaquaval,Water Fighting,236,159,198,5%,10%,"Water Gun, Wing Attack","Aerial Ace, Aqua Jet, Close Combat, Liquidation"
0915,Lechonk,Normal,81,79,144,40%,0%,"Tackle, Take Down","Body Slam, Dig, Trailblaze"
0916,Oinkologne Male,Normal,186,153,242,—,0%,"Tackle, Take Down","Body Slam, Dig, Trailblaze"
0916,Oinkologne Female,Normal,169,162,251,—,0%,"Tackle, Take Down","Body Slam, Dig, Trailblaze"
0919,Nymble,Bug,81,65,107,40%,0%,"Bug Bite, Struggle Bug","Bug Buzz, Trailblaze, X-Scissor"
0920,Lokix,Bug Dark,199,144,174,—,0%,"Bug Bite, Sucker Punch","Bug Buzz, Dark Pulse, Trailblaze, X-Scissor"
0921,Pawmi,Electric,95,45,128,40%,0%,"Charge Beam, Spark","Discharge, Thunderbolt, Wild Charge"
0922,Pawmo,Electric Fighting,147,82,155,—,0%,"Charge Beam, Spark","Discharge, Thunderbolt, Wild Charge"
0923,Pawmot,Electric Fighting,232,141,172,—,0%,"Charge Beam, Low Kick, Spark","Close Combat, Discharge, Thunderbolt, Wild Charge"
0928,Smoliv,Grass Normal,100,89,121,—,0%,"Razor Leaf, Tackle","Earth Power, Energy Ball, Seed Bomb"
0929,Dolliv,Grass Normal,137,131,141,—,0%,"Magical Leaf, Razor Leaf, Tackle","Earth Power, Energy Ball, Seed Bomb"
0930,Arboliva,Grass Normal,219,189,186,—,0%,"Magical Leaf, Razor Leaf, Tackle","Earth Power, Energy Ball, Seed Bomb"
0938,Tadbulb,Electric,104,73,156,—,0%,"Thunder Shock, Water Gun","Discharge, Parabolic Charge, Zap Cannon"
0939,Bellibolt,Electric,184,165,240,—,0%,"Thunder Shock, Water Gun","Discharge, Parabolic Charge, Zap Cannon"
0962,Bombirdier,Flying Dark,198,172,172,30%,10%,"Rock Throw, Wing Attack","Aerial Ace, Fly, Payback"
0971,Greavard,Ghost,105,106,137,—,0%,"Bite, Lick","Dig, Psychic Fangs, Shadow Ball"
0972,Houndstone,Ghost,186,195,176,—,0%,"Bite, Lick","Dig, Psychic Fangs, Shadow Ball"
0974,Cetoddle,Ice,119,80,239,—,0%,"Ice Shard, Tackle","Avalanche, Body Slam, Heavy Slam"
0975,Cetitan,Ice,208,123,347,—,0%,"Ice Shard, Tackle","Avalanche, Body Slam, Heavy Slam"
0980,Clodsire,Poison Ground,127,151,277,—,0%,"Mud Shot, Poison Sting","Acid Spray, Earthquake, Sludge Bomb, Stone Edge, Water Pulse, Megahorn (Community Day)"
0996,Frigibax,Dragon Ice,134,86,163,40%,9%,"Dragon Breath, Ice Fang","Avalanche, Dragon Claw, Outrage"
0997,Arctibax,Dragon Ice,173,128,207,10%,7%,"Dragon Breath, Ice Fang","Avalanche, Dragon Claw, Outrage"
0998,Baxcalibur,Dragon Ice,254,168,229,5%,5%,"Dragon Breath, Ice Fang","Avalanche, Blizzard, Dragon Claw, Outrage"
0999,Gimmighoul Roaming Form,Ghost,140,76,128,50%,3%,Astonish,Shadow Ball
1000,Gholdengo,Steel Ghost,252,190,202,3%,50%,"Astonish, Hex","Dazzling Gleam, Focus Blast, Shadow Ball"
